id,Name,Country,Category,Gender,Birth,Death,,,
25,"Huntziger, Charles  ",France ,Military-Ground ,Male ,1880,1941,,,
26,"Kidd, Isaac  ",United States ,Military-Sea ,Male ,1884,1941,,,
27,"Rydz-Śmigły, Edward  ",Poland ,Military-Ground ,Male ,1886,1941,,,
28,"Briesen, Kurt  ",Germany ,Military-Ground ,Male ,1886,1941,,,
29,"Phillips, Thomas  ",United Kingdom ,Military-Sea ,Male ,1888,1941,,,
30,"Pavlov, Dmitry  ",Russia ,Military-Ground ,Male ,1897,1941,,,
31,"Johnson, Amy  ",United Kingdom ,Military-Air ,Female ,1903,1941,,,
32,"Prien, Günther  ",Germany ,Military-Sea ,Male ,1908,1941,,,
33,"Cen, Zeliu  ",China ,Military-Air ,Male ,1910,1941,,,
34,"Mölders, Werner  ",Germany ,Military-Air ,Male ,1913,1941,,,
35,"Wong, Sun-sui  ",China ,Military-Air ,Male ,1914,1941,,,
36,"Czerniaków , Adam  ",Poland ,Government ,Male ,1880,1942,,,
37,"Darlan, François  ",France ,Military-Sea ,Male ,1881,1942,,,
38,"Reichenau, Walther  ",Germany ,Military-Ground ,Male ,1884,1942,,,
39,"De Clercq, Staf  ",Belgium ,Government ,Male ,1884,1942,,,
40,"Tinker, Clarence  ",United States ,Military-Air ,Male ,1887,1942,,,
41,"Scott, Norman  ",United States ,Military-Sea ,Male ,1889,1942,,,
42,"Reek, Nikolai  ",Estonia ,Military-Ground ,Male ,1890,1942,,,
43,"Horii, Tomitaro  ",Japan ,Military-Ground ,Male ,1890,1942,,,
44,"Todt, Fritz  ",Germany ,Government ,Male ,1891,1942,,,
45,"Bismarck, Georg  ",Germany ,Military-Ground ,Male ,1891,1942,,,
46,"Yamaguchi, Tamon  ",Japan ,Military-Sea ,Male ,1892,1942,,,
47,"Ichiki, Kiyono  ",Japan ,Military-Ground ,Male ,1892,1942,,,
48,"George, Harold  ",United States ,Military-Air ,Male ,1892,1942,,,
49,"Callahan, Daniel  ",United States ,Military-Sea ,Male ,1892,1942,,,
50,"Yanagimoto, Ryusaku  ",Japan ,Military-Sea ,Male ,1894,1942,,,
51,"Yang, Guangsheng  ",China ,Government ,Male ,1900,1942,,,
52,"Schmid, Anton  ",Austria ,Military-Ground ,Male ,1900,1942,,,
53,"Heydrich, Reinhard  ",Germany ,Government ,Male ,1904,1942,,,
54,Wilhelm  ,Germany ,Military-Ground ,Male ,1905,1942,,,
55,"Vogelsang, Ernst  ",Germany ,Military-Sea ,Male ,1911,1942,,,
56,"Kuhlmann, Hans-Günther  ",Germany ,Military-Sea ,Male ,1913,1942,,,
57,"Kobayashi, Michio  ",Japan ,Military-Air ,Male ,1914,1942,,,
58,"Sasai, Junichi  ",Japan ,Military-Air ,Male ,1918,1942,,,
59,"Marseille, Hans-Joachim  ",Germany ,Military-Air ,Male ,1919,1942,,,
60,"Lin, Sen  ",China ,Government ,Male ,1868,1943,,,
61,"Pound, Dudley  ",United Kingdom ,Military-Sea ,Male ,1877,1943,,,
62,"Cavallero, Ugo  ",Italy ,Military-Ground ,Male ,1880,1943,,,
63,"Sikorski, Władysław  ",Poland ,Military-Ground ,Male ,1881,1943,,,
64,"Shiozawa, Koichi  ",Japan ,Military-Sea ,Male ,1881,1943,,,
65,"Yamamoto, Isoroku  ",Japan ,Military-Sea ,Male ,1884,1943,,,
66,"Knox, Dilly  ",United Kingdom ,Science-Engineering ,Male ,1884,1943,,,
67,"Albrecht, Berthe  ",France ,Resistance ,Female ,1893,1943,,,
68,Boris III  ,Bulgaria ,Government ,Male ,1894,1943,,,
69,"Kagawa, Kiyoto  ",Japan ,Military-Sea ,Male ,1895,1943,,,
70,"Sachinis, Vasilios  ",Greece ,Resistance ,Male ,1897,1943,,,
71,"Kitagawa, Masataka  ",Japan ,Medicine ,Male ,1897,1943,,,
72,"Stromsoe, Harold  ",United States ,Military-Sea ,Male ,1906,1943,,,
73,"Morton, Dudley  ",United States ,Military-Sea ,Male ,1907,1943,,,
74,"Skjonsby, Verne  ",United States ,Military-Sea ,Male ,1910,1943,,,
75,"Iwanow-Szajnowicz, Jerzy  ",Poland ,Intelligence ,Male ,1911,1943,,,
76,"Brown, Francis  ",United States ,Military-Sea ,Male ,1911,1943,,,
77,"Zhou, Zhikai  ",China ,Military-Air ,Male ,1913,1943,,,
78,"Le Gloan, Pierre  ",France ,Military-Air ,Male ,1913,1943,,,
79,"Kashimura, Kanichi  ",Japan ,Military-Air ,Male ,1913,1943,,,
80,"Siffleet, Leonard  ",Australia ,Military-Ground ,Male ,1916,1943,,,
81,"Dyess, Ed  ",United States ,Military-Air ,Male ,1916,1943,,,
82,"Budanova, Yekaterina  ",Russia ,Military-Air ,Female ,1916,1943,,,
83,"Miller, Doris  ",United States ,Military-Sea ,Male ,1919,1943,,,
84,"Fort, Cornelia  ",United States ,Military-Air ,Female ,1919,1943,,,
85,"Litvyak, Lydia  ",Russia ,Military-Air ,Female ,1921,1943,,,
86,"Knox, Frank  ",United States ,Government ,Male ,1874,1944,,,
87,"Rumkowski, Chaim  ",Poland ,Commerce-Industry ,Male ,1877,1944,,,
88,"Quezon, Manuel  ",Philippines ,Government ,Male ,1878,1944,,,
89,"Heitz, Walter  ",Germany ,Military-Ground ,Male ,1878,1944,,,
90,"Campioni, Inigo  ",Italy ,Military-Sea ,Male ,1878,1944,,,
91,"Beck, Ludwig  ",Germany ,Military-Ground ,Male ,1880,1944,,,
92,"Dill, John  ",United Kingdom ,Government ,Male ,1881,1944,,,
93,"Kluge, Günther  ",Germany ,Military-Ground ,Male ,1882,1944,,,
94,"Wang, Jingwei  ",China ,Government ,Male ,1883,1944,,,
95,"Koga, Mineichi  ",Japan ,Military-Sea ,Male ,1885,1944,,,
96,"Nagumo, Chuichi  ",Japan ,Military-Sea ,Male ,1887,1944,,,
97,"Nishimura, Shoji  ",Japan ,Military-Sea ,Male ,1889,1944,,,
98,"Bastin, Jules  ",Belgium ,Military-Ground ,Male ,1889,1944,,,
99,"Saito, Yoshitsugu  ",Japan ,Military-Ground ,Male ,1890,1944,,,
100,"Dietl, Eduard  ",Germany ,Military-Ground ,Male ,1890,1944,,,
101,"Rommel, Erwin  ",Germany ,Military-Ground ,Male ,1891,1944,,,
102,"Takagi, Takeo  ",Japan ,Military-Sea ,Male ,1892,1944,,,
103,"Leigh-Mallory, Trafford  ",United Kingdom ,Military-Air ,Male ,1892,1944,,,
104,"Hasegawa, Kiichi  ",Japan ,Military-Sea ,Male ,1894,1944,,,
105,"Beck, Józef  ",Poland ,Government ,Male ,1894,1944,,,
106,"Stettner von Grabenhofen, Walter  ",Germany ,Military-Ground ,Male ,1895,1944,,,
107,"Arima, Masafumi  ",Japan ,Military-Sea ,Male ,1895,1944,,,
108,"Inoguchi, Toshihira  ",Japan ,Military-Sea ,Male ,1896,1944,,,
109,"Haas, Pavel  ",Czechoslovakia ,Other ,Male ,1899,1944,,,
110,"Hitchcock, Thomas  ",United States ,Military-Air ,Male ,1900,1944,,,
111,"Vatutin, Nikolai  ",Russia ,Military-Ground ,Male ,1901,1944,,,
112,"Wingate, Orde  ",United Kingdom ,Military-Ground ,Male ,1903,1944,,,
113,"Ciano, Galeazzo  ",Italy ,Government ,Male ,1903,1944,,,
114,"Miller, Glenn  ",United States ,Other ,Male ,1904,1944,,,
115,"Kutschera, Franz  ",Austria ,Government ,Male ,1904,1944,,,
116,"Novikov, Petr  ",Russia ,Military-Ground ,Male ,1906,1944,,,
117,"Hähle, Johannes  ",Germany ,Photography ,Male ,1906,1944,,,
118,"Stauffenberg, Claus  ",Germany ,Military-Ground ,Male ,1907,1944,,,
119,"Brandt, Heinz  ",Germany ,Military-Ground ,Male ,1907,1944,,,
120,"Evans, Ernest  ",United States ,Military-Sea ,Male ,1908,1944,,,
121,"Lim, Bo Seng  ",China ,Intelligence ,Male ,1909,1944,,,
122,"Beekman, Yolande  ",United Kingdom ,Intelligence ,Female ,1911,1944,,,
123,"Lee, Hazel  ",United States ,Military-Air ,Female ,1912,1944,,,
124,"Lippert, Lucien  ",Belgium ,Military-Ground ,Male ,1913,1944,,,
125,"Inayat Khan, Noor  ",United Kingdom ,Intelligence ,Female ,1914,1944,,,
126,"Fisanovich, Israel  ",Ukraine ,Military-Sea ,Male ,1914,1944,,,
127,"Minami, Yoshimi  ",Japan ,Military-Air ,Male ,1915,1944,,,
128,Heinrich  ,Germany ,Military-Air ,Male ,1916,1944,,,
129,Egmont  ,Germany ,Military-Air ,Male ,1918,1944,,,
130,"Byck, Muriel  ",United Kingdom ,Intelligence ,Female ,1918,1944,,,
131,"Sharp, Evelyn  ",United States ,Military-Air ,Female ,1919,1944,,,
132,"Ilk, Iro  ",Germany ,Military-Air ,Male ,1919,1944,,,
133,"Szenes, Hannah  ",Hungary ,Intelligence ,Female ,1921,1944,,,
134,Kotohito  ,Japan ,Government ,Male ,1865,1945,,,
135,"Hácha, Emil  ",Czechoslovakia ,Government ,Male ,1872,1945,,,
136,"Sugiyama, Hajime  ",Japan ,Military-Ground ,Male ,1880,1945,,,
137,"Bock, Fedor  ",Germany ,Military-Ground ,Male ,1880,1945,,,
138,"Shaposhnikov, Boris  ",Russia ,Military-Ground ,Male ,1882,1945,,,
139,"Roosevelt, Franklin  ",United States ,Government ,Male ,1882,1945,,,
140,"Burnett, Charles  ",Australia ,Military-Air ,Male ,1882,1945,,,
141,"Rust, Bernhard  ",Germany ,Government ,Male ,1883,1945,,,
142,"Ramsay, Bertram  ",United Kingdom ,Military-Sea ,Male ,1883,1945,,,
143,"Mussolini, Benito  ",Italy ,Government ,Male ,1883,1945,,,
144,"Laval, Pierre  ",France ,Government ,Male ,1883,1945,,,
145,"Filov, Bogdan  ",Bulgaria ,Government ,Male ,1883,1945,,,
146,"McCain, John  ",United States ,Military-Sea ,Male ,1884,1945,,,
147,"Koizumi, Chikahiko  ",Japan ,Medicine ,Male ,1884,1945,,,
148,"Bozhilov, Dobri  ",Bulgaria ,Government ,Male ,1884,1945,,,
149,"Avramescu, Gheorghe  ",Romania ,Military-Ground ,Male ,1884,1945,,,
150,"Patton, George  ",United States ,Military-Ground ,Male ,1885,1945,,,
151,"Curtin, John  ",Australia ,Government ,Male ,1885,1945,,,
152,"Buckner, Simon  ",United States ,Military-Ground ,Male ,1886,1945,,,
153,"Ushijima, Mitsuru  ",Japan ,Military-Ground ,Male ,1887,1945,,,
154,"Tanaka, Shizuichi  ",Japan ,Military-Ground ,Male ,1887,1945,,,
155,"Quisling, Vidkun  ",Norway ,Government ,Male ,1887,1945,,,
156,"Canaris, Wilhelm  ",Germany ,Government ,Male ,1887,1945,,,
157,"Anami, Korechika  ",Japan ,Military-Ground ,Male ,1887,1945,,,
158,"Lee, Willis  ",United States ,Military-Sea ,Male ,1888,1945,,,
159,"Hitler, Adolf  ",Germany ,Government ,Male ,1889,1945,,,
160,"Frike, Kurt  ",Germany ,Military-Sea ,Male ,1889,1945,,,
161,"Ugaki, Matome  ",Japan ,Military-Sea ,Male ,1890,1945,,,
162,"Schmidt, Kurt  ",Germany ,Military-Ground ,Male ,1891,1945,,,
163,"Ota, Minoru  ",Japan ,Military-Sea ,Male ,1891,1945,,,
164,"Onishi, Takijiro  ",Japan ,Military-Air ,Male ,1891,1945,,,
165,"Model, Walter  ",Germany ,Military-Ground ,Male ,1891,1945,,,
166,"Kuribayashi, Tadamichi  ",Japan ,Military-Ground ,Male ,1891,1945,,,
167,"Konoe, Fumimaro  ",Japan ,Government ,Male ,1891,1945,,,
168,"Dostler, Anton  ",Germany ,Military-Ground ,Male ,1891,1945,,,
169,"Greim, Robert  ",Germany ,Military-Air ,Male ,1892,1945,,,
170,"Bormann, Juana  ",Germany ,Government ,Female ,1893,1945,,,
171,"Drummond, Peter  ",Australia ,Military-Air ,Male ,1894,1945,,,
172,"Chandler, Theodore  ",United States ,Military-Sea ,Male ,1894,1945,,,
173,"Richthofen, Wolfram  ",Germany ,Military-Air ,Male ,1895,1945,,,
174,"Giesler, Paul  ",Germany ,Government ,Male ,1895,1945,,,
175,"Florstedt, Hermann  ",Germany ,Government ,Male ,1895,1945,,,
176,"Burgdorf, Wilhelm  ",Germany ,Military-Ground ,Male ,1895,1945,,,
177,"Kiefer, Dixie  ",United States ,Military-Sea ,Male ,1896,1945,,,
178,"Koch, Karl-Otto  ",Germany ,Government ,Male ,1897,1945,,,
179,"Goebbels, Joseph  ",Germany ,Government ,Male ,1897,1945,,,
180,"Bose, Subhash Chandra  ",India ,Government ,Male ,1897,1945,,,
181,"Ariga, Kosaku  ",Japan ,Military-Sea ,Male ,1897,1945,,,
182,"Henlein, Konrad  ",Czechoslovakia ,Government ,Male ,1898,1945,,,
183,"Pyle, Ernie  ",United States ,Journalism ,Male ,1900,1945,,,
184,"Himmler, Heinrich  ",Germany ,Government ,Male ,1900,1945,,,
185,"Nishi, Takeichi  ",Japan ,Military-Ground ,Male ,1902,1945,,,
186,"Dohnanyi, Hans  ",Germany ,Government ,Male ,1902,1945,,,
187,"Ariizumi, Tatsunosuke  ",Japan ,Military-Sea ,Male ,1904,1945,,,
188,"Klaras, Aris  ",Greece ,Resistance ,Male ,1905,1945,,,
189,"Bonhoeffer, Dietrich  ",Germany ,Government ,Male ,1906,1945,,,
190,"Moltke, Helmuth  ",Germany ,Government ,Male ,1907,1945,,,
191,"Böhme, Horst  ",Germany ,Government ,Male ,1909,1945,,,
192,Yi Woo  ,Korea ,Government ,Male ,1912,1945,,,
193,"Braun, Eva  ",Germany ,Other ,Female ,1912,1945,,,
194,"Loladze, Shalva  ",Russia ,Military-Air ,Male ,1916,1945,,,
195,"Bloch, Denise  ",France ,Intelligence ,Female ,1916,1945,,,
196,"Basilone, John  ",United States ,Military-Ground ,Male ,1916,1945,,,
197,"Knight, Jack  ",United States ,Military-Ground ,Male ,1917,1945,,,
198,"Birch, John  ",United States ,Intelligence ,Male ,1918,1945,,,
199,"Tak, Kyonghyong  ",Korea ,Military-Air ,Male ,1920,1945,,,
200,"Bong, Richard  ",United States ,Military-Air ,Male ,1920,1945,,,
201,"Szabo, Violette  ",United Kingdom ,Intelligence ,Female ,1921,1945,,,
202,"Stein, Tony  ",United States ,Military-Ground ,Male ,1921,1945,,,
203,"Kanno, Naoshi  ",Japan ,Military-Air ,Male ,1921,1945,,,
204,"Daghlian, Harry  ",United States ,Science-Engineering ,Male ,1921,1945,,,
205,"Shanina, Roza  ",Russia ,Military-Ground ,Female ,1924,1945,,,
206,"Wiligut, Karl  ",Austria ,Other ,Male ,1866,1946,,,
207,"Epp, Franz  ",Germany ,Government ,Male ,1868,1946,,,
208,"Kalinin, Mikhail  ",Russia ,Government ,Male ,1875,1946,,,
209,Hiroyasu  ,Japan ,Government ,Male ,1875,1946,,,
210,"Frick, Wilhelm  ",Germany ,Government ,Male ,1876,1946,,,
211,"Rallis, Ioannis  ",Greece ,Government ,Male ,1878,1946,,,
212,"Nedić, Milan  ",Yugoslavia ,Government ,Male ,1878,1946,,,
213,"Blomberg, Werner  ",Germany ,Military-Ground ,Male ,1878,1946,,,
214,"Terauchi, Hisaichi  ",Japan ,Military-Ground ,Male ,1879,1946,,,
215,"Tuka, Vojtech  ",Czechoslovakia ,Government ,Male ,1880,1946,,,
216,"Matsuoka, Yosuke  ",Japan ,Government ,Male ,1880,1946,,,
217,"Karbyshev, Dmitry  ",Russia ,Military-Ground ,Male ,1880,1946,,,
218,"Keitel, Wilhelm  ",Germany ,Military-Ground ,Male ,1882,1946,,,
219,"Antonescu, Ion  ",Romania ,Government ,Male ,1882,1946,,,
220,"Sztójay, Döme  ",Hungary ,Government ,Male ,1883,1946,,,
221,"Stilwell, Joseph  ",United States ,Military-Ground ,Male ,1883,1946,,,
222,"Chu, Minyi  ",China ,Government ,Male ,1884,1946,,,
223,"Ando, Rikichi  ",Japan ,Military-Ground ,Male ,1884,1946,,,
224,"Yamashita, Tomoyuki  ",Japan ,Military-Ground ,Male ,1885,1946,,,
225,"Hansson, Per Albin  ",Sweden ,Government ,Male ,1885,1946,,,
226,"Vereker, John  ",United Kingdom ,Government ,Male ,1886,1946,,,
227,"Lin, Hsiung-cheng  ",Taiwan ,Government ,Male ,1888,1946,,,
228,"Homma, Masaharu  ",Japan ,Military-Ground ,Male ,1888,1946,,,
229,"Hong, Sa-ik  ",Korea ,Military-Ground ,Male ,1889,1946,,,
230,"Jodl, Alfred  ",Germany ,Military-Ground ,Male ,1890,1946,,,
231,"Hopkins, Harry  ",United States ,Government ,Male ,1890,1946,,,
232,"Bárdossy, László  ",Hungary ,Government ,Male ,1890,1946,,,
233,"Seyß-Inquart, Arthur  ",Austria ,Government ,Male ,1892,1946,,,
234,"Chen, Gongbo  ",China ,Government ,Male ,1892,1946,,,
235,"Rosenberg, Alfred  ",Germany ,Government ,Male ,1893,1946,,,
236,"Ribbentrop, Joachim  ",Germany ,Government ,Male ,1893,1946,,,
237,"Mihailovic, Dragoljub  ",Yugoslavia ,Military-Ground ,Male ,1893,1946,,,
238,"Göring, Hermann  ",Germany ,Government ,Male ,1893,1946,,,
239,"Sauckel, Fritz  ",Germany ,Government ,Male ,1894,1946,,,
240,"Mussert, Anton  ",Netherlands ,Government ,Male ,1894,1946,,,
241,"Szálasi, Ferenc  ",Hungary ,Government ,Male ,1897,1946,,,
242,"Greiser, Arthur  ",Germany ,Government ,Male ,1897,1946,,,
243,"Daluege, Kurt  ",Germany ,Government ,Male ,1897,1946,,,
244,"Dai, Li  ",China ,Government ,Male ,1897,1946,,,
245,"Frank, Karl  ",Czechoslovakia ,Government ,Male ,1898,1946,,,
246,"Frank, Hans  ",Germany ,Government ,Male ,1900,1946,,,
247,"Kaltenbrunner, Ernst  ",Germany ,Government ,Male ,1903,1946,,,
248,"Weiss, Martin  ",Germany ,Government ,Male ,1905,1946,,,
249,"Antonescu, Mihai  ",Romania ,Government ,Male ,1907,1946,,,
250,"Göth, Amon  ",Germany ,Government ,Male ,1908,1946,,,
251,"Slotin, Louis  ",Canada ,Science-Engineering ,Male ,1910,1946,,,
252,"Streel, José  ",Belgium ,Journalism ,Male ,1911,1946,,,
253,Vittorio Emanuele III  ,Italy ,Government ,Male ,1869,1947,,,
254,Christian X  ,Denmark ,Government ,Male ,1870,1947,,,
255,"Nagano, Osami  ",Japan ,Military-Sea ,Male ,1880,1947,,,
256,"Tani, Hisao  ",Japan ,Military-Ground ,Male ,1882,1947,,,
257,"Luukkonen, Fanni  ",Finland ,Other ,Female ,1882,1947,,,
258,"Jány, Gusztáv  ",Hungary ,Military-Ground ,Male ,1883,1947,,,
259,"Adachi, Hatazo  ",Japan ,Military-Ground ,Male ,1884,1947,,,
260,"Sultan, Daniel  ",United States ,Military-Ground ,Male ,1885,1947,,,
261,"Sănătescu, Constantin  ",Romania ,Government ,Male ,1885,1947,,,
262,"Löhr, Alexander  ",Germany ,Military-Ground ,Male ,1885,1947,,,
263,"Geiger, Roy  ",United States ,Military-Ground ,Male ,1885,1947,,,
264,"Tiso, Jozef  ",Czechoslovakia ,Government ,Male ,1887,1947,,,
265,"Mitscher, Marc  ",United States ,Military-Sea ,Male ,1887,1947,,,
266,"Hyakutake, Harukichi  ",Japan ,Military-Ground ,Male ,1888,1947,,,
267,"Winant, John  ",United States ,Government ,Male ,1889,1947,,,
268,George II  ,Greece ,Government ,Male ,1890,1947,,,
269,"Daigo, Tadashige  ",Japan ,Military-Sea ,Male ,1891,1947,,,
270,"Siilasvuo, Hjalmar  ",Finland ,Military-Ground ,Male ,1892,1947,,,
271,"Ludwiger, Hartwig  ",Germany ,Military-Ground ,Male ,1895,1947,,,
272,"Bakirtzis, Evripidis  ",Greece ,Resistance ,Male ,1895,1947,,,
273,"Müller, Friedrich-Wilhelm  ",Germany ,Military-Ground ,Male ,1897,1947,,,
274,"Höss, Rudolf  ",Germany ,Government ,Male ,1900,1947,,,
275,Philippe Leclerc  ,France ,Military-Ground ,Male ,1902,1947,,,
276,"Zhang, Lingfu  ",China ,Military-Ground ,Male ,1903,1947,,,
277,"Wallenberg, Raoul  ",Sweden ,Government ,Male ,1912,1947,,,
278,"Matthys, Victor  ",Belgium ,Government ,Male ,1914,1947,,,
279,Aung San  ,Burma ,Government ,Male ,1915,1947,,,
280,"Suzuki, Kantaro  ",Japan ,Government ,Male ,1867,1948,,,
281,"Matsui, Iwane  ",Japan ,Military-Ground ,Male ,1878,1948,,,
282,"Hirota, Koki  ",Japan ,Government ,Male ,1878,1948,,,
283,"Yonai, Mitsumasa  ",Japan ,Government ,Male ,1880,1948,,,
284,"Brauchitsch, Walther  ",Germany ,Military-Ground ,Male ,1881,1948,,,
285,"Muto, Akira  ",Japan ,Military-Ground ,Male ,1883,1948,,,
286,"Doihara, Kenji  ",Japan ,Military-Ground ,Male ,1883,1948,,,
287,"Blaskowitz, Johannes  ",Germany ,Military-Ground ,Male ,1883,1948,,,
288,"Tojo, Hideki  ",Japan ,Government ,Male ,1884,1948,,,
289,"Beneš, Edvard  ",Czechoslovakia ,Government ,Male ,1884,1948,,,
290,"Itagaki, Seishiro  ",Japan ,Military-Ground ,Male ,1885,1948,,,
291,"Tsolakoglou, Georgios  ",Greece ,Military-Ground ,Male ,1886,1948,,,
292,"Morell, Theodor  ",Germany ,Medicine ,Male ,1886,1948,,,
293,"Rybalko, Pavel  ",Russia ,Military-Ground ,Male ,1892,1948,,,
294,"Roxas, Manuel  ",Philippines ,Government ,Male ,1892,1948,,,
295,Folke Bernadotte  ,Sweden ,Government ,Male ,1895,1948,,,
296,"Coningham, Arthur  ",New Zealand ,Military-Air ,Male ,1895,1948,,,
297,"Kathigasu, Sybil  ",Malaya ,Resistance ,Female ,1899,1948,,,
298,"Bühler, Josef  ",Germany ,Government ,Male ,1904,1948,,,
299,"Mußfeldt, Erich  ",Germany ,Government ,Male ,1913,1948,,,
300,"Gao, Youxin  ",China ,Military-Air ,Male ,1916,1948,,,
301,"Kim, Gu  ",Korea ,Government ,Male ,1876,1949,,,
302,"Giraud, Henri  ",France ,Military-Ground ,Male ,1879,1949,,,
303,"Umezu, Yoshijiro  ",Japan ,Military-Ground ,Male ,1882,1949,,,
304,"Somerville, James  ",United Kingdom ,Military-Sea ,Male ,1882,1949,,,
305,"Poulos, Georgios  ",Greece ,Other ,Male ,1889,1949,,,
306,"Abe, Hiroaki  ",Japan ,Military-Sea ,Male ,1889,1949,,,
307,Damaskinos  ,Greece ,Government ,Male ,1891,1949,,,
308,"Chan, Chak  ",China ,Military-Sea ,Male ,1894,1949,,,
309,"Pajari, Aaro  ",Finland ,Military-Ground ,Male ,1897,1949,,,
310,Gustaf V  ,Sweden ,Government ,Male ,1858,1950,,,
311,"Stimson, Henry  ",United States ,Government ,Male ,1867,1950,,,
312,"Smuts, Jan  ",South Africa ,Government ,Male ,1870,1950,,,
313,"Krupp, Gustav  ",Germany ,Commerce-Industry ,Male ,1870,1950,,,
314,"King, Mackenzie  ",Canada ,Government ,Male ,1874,1950,,,
315,"Koiso, Kuniaki  ",Japan ,Government ,Male ,1880,1950,,,
316,"Dumitrescu, Petre  ",Romania ,Military-Ground ,Male ,1882,1950,,,
317,"Wavell, Archibald  ",United Kingdom ,Military-Ground ,Male ,1883,1950,,,
318,"Ma, Zhanshan  ",China ,Military-Ground ,Male ,1885,1950,,,
319,"Arnold, Henry  ",United States ,Military-Air ,Male ,1886,1950,,,
320,"Walker, Walton  ",United States ,Military-Ground ,Male ,1889,1950,,,
321,"Haase, Werner  ",Germany ,Medicine ,Male ,1900,1950,,,
322,"Khudyakov, Sergei  ",Armenia ,Military-Air ,Male ,1902,1950,,,
323,"Voznesensky, Nikolai  ",Russia ,Government ,Male ,1903,1950,,,
324,"Rodionov, Mikhail  ",Russia ,Government ,Male ,1907,1950,,,
325,"Pétain, Philippe  ",France ,Government ,Male ,1856,1951,,,
326,"Mannerheim, Carl G. E.  ",Finland ,Military-Ground ,Male ,1867,1951,,,
327,"Song, Tiancai  ",China ,Military-Ground ,Male ,1880,1951,,,
328,"Bevin, Ernest  ",United Kingdom ,Government ,Male ,1881,1951,,,
329,"Blamey, Thomas  ",Australia ,Military-Ground ,Male ,1884,1951,,,
330,"Chifley, Ben  ",Australia ,Government ,Male ,1885,1951,,,
331,"Chen, Jie  ",China ,Government ,Male ,1885,1951,,,
332,"Nishina, Yoshio  ",Japan ,Science-Engineering ,Male ,1890,1951,,,
333,"Varela, José Enrique  ",Spain ,Government ,Male ,1891,1951,,,
334,"Hughes, William  ",Australia ,Government ,Male ,1862,1952,,,
335,"Ickes, Harold  ",United States ,Government ,Male ,1874,1952,,,
336,"Higgins, Andrew  ",United States ,Commerce-Industry ,Male ,1886,1952,,,
337,"de Lattre de Tassigny, Jean  ",France ,Military-Ground ,Male ,1889,1952,,,
338,"Stroop, Jürgen  ",Germany ,Government ,Male ,1895,1952,,,
339,George VI  ,United Kingdom ,Government ,Male ,1895,1952,,,
340,"Forster, Albert  ",Germany ,Government ,Male ,1902,1952,,,
341,"Skarbek, Christine  ",Poland ,Intelligence ,Female ,1908,1952,,,
342,"Schellenberg, Walther  ",Germany ,Government ,Male ,1910,1952,,,
343,Choibalsan  ,China ,Government ,Male ,1937,1952,,,
344,"Rundstedt, Gerd  ",Germany ,Military-Ground ,Male ,1875,1953,,,
345,"Abe, Nobuyuki  ",Japan ,Government ,Male ,1875,1953,,,
346,"Stalin, Joseph  ",Russia ,Government ,Male ,1879,1953,,,
347,"Jankowski, Jan  ",Poland ,Government ,Male ,1882,1953,,,
348,"Wainwright, Jonathan  ",United States ,Military-Ground ,Male ,1883,1953,,,
349,"Tran, Trong Kim  ",French Indochina ,Government ,Male ,1883,1953,,,
350,"Sperrle, Hugo  ",Germany ,Military-Air ,Male ,1885,1953,,,
351,"De Man, Henri  ",Belgium , ,Male ,1885,1953,,,
